사용월,호선명,지하철역,04시-05시 하차인원,05시-06시 하차인원,06시-07시 하차인원,07시-08시 하차인원,08시-09시 하차인원,09시-10시 하차인원,10시-11시 하차인원,11시-12시 하차인원,12시-13시 하차인원,13시-14시 하차인원,14시-15시 하차인원,15시-16시 하차인원,16시-17시 하차인원,17시-18시 하차인원,18시-19시 하차인원,19시-20시 하차인원,20시-21시 하차인원,21시-22시 하차인원,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,01시-02시 하차인원,02시-03시 하차인원,03시-04시 하차인원
202005,4호선,당고개,0,25,6962,7459,12327,13667,12608,11141,12294,12768,13432,16869,19404,22837,34321,33572,22711,19664,18610,13656,1282,0,0,0
202005,4호선,동대문,6,2877,14214,36688,74941,64632,53560,48432,39656,39010,38033,31147,23138,16987,12165,15131,11175,6584,4522,6323,126,0,0,0
202005,4호선,동대문역사문화공원(DDP),1,1293,10556,25262,63848,34840,22107,21314,19136,19989,18948,16773,14807,15399,17101,25368,12879,7643,5628,5296,556,1,0,0
202005,4호선,동작(현충원),0,186,2499,3770,6067,4471,3475,3343,3177,4068,4516,4592,4703,5298,7223,5463,3565,2754,2304,1513,560,0,1,0
202005,4호선,명동,0,1065,11375,33516,89079,57261,34007,31998,30671,30974,27907,25355,22897,21429,20742,12388,5975,3621,2131,1395,188,0,0,0
202005,4호선,미아(서울사이버대학),2,1893,4873,11048,26857,16894,14490,14518,15485,16538,17971,21891,24705,30853,43746,38730,24094,21478,18995,12762,1,0,1,0
202005,4호선,미아사거리,0,2418,8308,15425,31272,32226,25850,27286,30158,33537,35305,42991,49089,61325,97249,81683,47577,41963,36855,22344,2,1,0,0
202005,4호선,사당,3,1041,14977,19187,30164,24981,20446,22448,23629,25031,24687,28311,35541,51009,76799,56580,32300,28210,27217,18594,3915,0,0,0
202005,4호선,삼각지,0,408,4634,8716,22775,9851,5774,5179,5224,5404,5119,5346,5481,7479,10222,6846,4230,3738,3425,2564,372,0,1,0
202005,4호선,상계,2,177,7030,10111,17651,15531,15313,14701,17592,18546,19952,23453,27812,37133,57600,56909,34958,30022,28197,21750,651,0,0,0
202005,4호선,서울역,5,512,9969,29464,76459,34459,17128,15873,17579,18378,18441,20179,21064,24340,24873,19156,13250,11578,9838,6381,1592,0,0,0
202005,4호선,성신여대입구(돈암),2,1553,6770,13478,30469,24276,19651,20181,23197,25772,27366,28649,32104,41913,61102,49916,31272,26575,24606,16736,1,0,0,0
